"Customer_ID","Gender","Age","Score","Tenure","Salary","Balance","Products_in_Use","Left"
15656148,"Female",29,376,4,119346.88,115046.74,4,1
15643966,"Male",45,616,3,64327.26,143129.41,2,0
15737452,"Male",58,653,1,5097.67,132602.88,1,1
15736816,"Male",36,756,2,170041.95,136815.64,1,0
15728693,"Female",43,574,3,100187.43,141349.43,1,0
15750181,"Male",41,553,9,81898.81,110112.54,2,0
15585768,"Male",41,582,6,178074.04,70349.48,2,0
15754849,"Female",32,776,4,126517.46,109421.13,2,0
15602280,"Female",27,829,9,119708.21,112045.67,1,1
15771573,"Female",39,637,9,117622.8,137843.8,1,1
15766205,"Male",38,550,2,90878.13,103391.38,1,0
15771873,"Female",37,776,2,194099.12,103769.22,2,0
15616550,"Male",44,698,10,198059.16,116363.37,2,0
15768193,"Male",36,585,5,86424.57,146050.97,2,0
15702298,"Male",41,655,8,164040.94,125561.97,1,1
15569590,"Male",42,601,1,40014.76,98495.72,1,1
15647091,"Male",19,725,0,45613.75,75888.2,1,0
15651280,"Male",35,742,5,84509.57,136857,1,0
15773469,"Female",27,687,9,126494.82,152328.88,2,0
15592461,"Male",26,603,4,92840.67,109166.37,1,0
15789484,"Female",36,751,6,27758.36,169831.46,2,0
15696061,"Female",34,581,1,110431.51,101633.04,1,0
15641582,"Male",43,735,10,196673.28,123180.01,2,0
15638424,"Female",35,661,5,113656.85,150725.53,2,0
15703793,"Male",58,738,2,28373.86,133745.44,4,1
15779052,"Female",25,604,5,58426.81,157780.84,2,0
15803136,"Female",41,416,10,98301.61,122189.66,2,0
15767954,"Female",28,635,3,156791.36,81623.67,2,0
15693683,"Male",29,814,8,197276.13,97086.4,2,0
15599195,"Male",32,582,1,10054.53,88938.62,1,0
15812878,"Female",36,785,2,36976.52,99806.85,1,0
15744689,"Male",35,479,9,99449.86,92833.89,1,1
15803526,"Male",30,685,3,63082.88,90536.81,1,0
15665790,"Male",39,538,7,27231.26,108055.1,2,0
15609618,"Male",28,721,9,101300.94,154475.54,2,1
15675522,"Female",30,628,9,74169.13,132351.29,2,0
15705512,"Female",37,668,6,115638.29,167864.4,1,0
15661670,"Female",31,524,8,NA,107818.63,1,1
15600781,"Male",34,699,4,120834.48,185173.81,2,0
15760085,"Female",48,684,10,NA,126384.42,1,0
15782688,"Male",56,625,0,46824.08,148507.24,1,1
15718369,"Female",33,795,9,114935.21,130862.43,1,0
15712543,"Male",39,789,7,124411.08,124828.46,2,0
15584518,"Female",50,589,5,34941.23,144895.05,2,0
15802381,"Female",34,461,5,167784.28,63663.93,1,0
15698932,"Male",44,756,10,189543.9,137452.09,1,0
15804017,"Female",33,631,4,112687.57,123246.7,1,0
15585388,"Male",31,660,9,139874.43,125189.75,2,0
15724623,"Female",24,704,7,162503.48,113034.22,1,1
15611325,"Male",24,682,9,53134.3,57929.81,2,0
15613172,"Male",27,628,5,155996.96,95826.49,2,0
15651022,"Male",44,480,10,5472.7,129608.57,1,1
15790355,"Male",36,606,5,179351.89,190479.48,2,0
15625426,"Female",55,754,3,8080.85,161608.81,1,1
15621075,"Female",45,778,1,174531.27,162150.42,2,0
15587421,"Female",34,687,7,148564.76,111388.18,2,0
15777892,"Male",37,721,3,158591.12,107720.64,1,0
15752047,"Male",33,689,2,169381.9,161814.64,2,0
15785542,"Male",26,572,4,60427.3,118287.01,2,0
15723488,"Male",47,668,7,157959.02,106854.21,1,1
15568748,"Male",45,671,6,108872.45,99564.22,1,1
15676895,"Female",39,547,6,85746.52,74596.15,3,1
15637753,"Male",50,751,2,77206.25,96888.39,1,1
15605461,"Female",29,594,3,61048.53,130830.22,1,0
