"Customer_ID","Gender","Age","Score","Tenure","Salary","Balance","Products_in_Use","Left"
15634602,"Female",42,619,2,101348.88,0,1,1
15619304,"Female",42,502,8,113931.57,159660.8,3,1
15701354,"Female",39,699,1,93826.63,0,2,0
15592531,"Male",50,822,7,10062.8,0,2,0
15792365,"Male",44,501,4,74940.5,142051.07,2,0
15592389,"Male",27,684,2,71725.73,134603.88,1,0
15767821,"Male",31,528,6,80181.12,102016.72,2,0
15632264,"Female",34,476,10,26260.98,0,2,0
15691483,"Female",25,549,5,190857.79,0,2,0
15568982,"Female",24,726,6,54724.03,0,2,0
15577657,"Male",41,732,8,170886.17,0,2,0
15725737,"Male",46,669,3,8487.75,0,2,0
15625047,"Female",38,846,5,187616.16,0,1,0
15738191,"Male",25,577,3,124508.29,0,2,0
15700772,"Male",44,571,9,38433.35,0,2,0
15656300,"Male",29,411,0,53483.21,59697.17,2,0
15706552,"Male",36,533,7,156731.91,85311.7,1,0
15794171,"Female",45,475,0,27822.99,134264.04,1,1
15717426,"Male",36,850,7,40812.9,0,1,0
15738148,"Female",51,465,8,181297.65,122522.32,1,1
15687946,"Female",61,556,2,94153.83,117419.35,1,0
15755196,"Female",49,834,2,194365.76,131394.56,1,1
15683553,"Female",33,788,5,116978.19,0,2,0
15760861,"Male",43,619,1,113410.49,125211.92,1,0
15630053,"Male",45,656,5,87107.57,127864.4,1,0
15804771,"Male",51,614,4,46775.28,40685.92,1,0
15755648,"Female",21,675,8,18203,98373.26,1,0
15620344,"Male",29,813,6,33953.87,0,1,0
15770811,"Male",36,519,9,145562.4,0,2,0
15780961,"Female",21,735,1,22388,178718.19,2,0
15614049,"Male",55,664,8,139161.64,0,2,0
15662085,"Female",32,678,9,148210.64,0,1,0
15706021,"Female",34,665,1,171413.66,96645.54,2,0
15663706,"Female",32,777,2,136458.19,0,1,1
15641732,"Female",36,543,3,26019.59,0,2,0
15701164,"Female",34,506,4,159235.29,90307.62,1,0
15738751,"Female",46,493,4,1907.66,0,2,0
15625759,"Male",30,729,9,151869.35,0,2,0
